Nr,sequence,image,x,y,z,theta_x,theta_y,theta_z
/00,2011_10_03_drive_0027,/000028,-1.385747,-0.8209244,24.65175,0.009586134,-0.043528168,-0.013269827
/00,2011_10_03_drive_0027,/000029,-1.436633,-0.8456208,25.59694,0.008379336,-0.042091692,-0.013005916
/00,2011_10_03_drive_0027,/000030,-1.487044,-0.8702127,26.54471,0.010951239,-0.040904456,-0.013344898
/00,2011_10_03_drive_0027,/000031,-1.538025,-0.8971121,27.49627,0.016271203,-0.039937857,-0.014562105
/00,2011_10_03_drive_0027,/000032,-1.586551,-0.9254151,28.45466,0.019758637,-0.038709927,-0.013974173
/00,2011_10_03_drive_0027,/000033,-1.633363,-0.955563,29.42293,0.018447284,-0.038041968,-0.011494679
/00,2011_10_03_drive_0027,/000034,-1.680971,-0.9838377,30.39839,0.013482395,-0.03827741,-0.009603238
/00,2011_10_03_drive_0027,/000035,-1.728893,-1.011772,31.37765,0.009298674,-0.03925247,-0.006203316
/00,2011_10_03_drive_0027,/000036,-1.768976,-1.036363,32.35714,0.009368393,-0.040401131,0.001461962
/00,2011_10_03_drive_0027,/000037,-1.815834,-1.059789,33.33631,0.013175763,-0.042058391,0.004341217
/00,2011_10_03_drive_0027,/000038,-1.870663,-1.088016,34.32021,0.017603089,-0.043601475,0.00331
/00,2011_10_03_drive_0027,/000039,-1.92978,-1.12988,35.33097,0.01890046,-0.045492044,0.002642091
/00,2011_10_03_drive_0027,/000040,-1.993748,-1.194548,36.38751,0.016752837,-0.046557189,0.002785598
/00,2011_10_03_drive_0027,/000041,-2.061112,-1.249881,37.4285,0.013771856,-0.047525921,-0.000415667
/00,2011_10_03_drive_0027,/000042,-2.126953,-1.305052,38.47151,0.012793891,-0.048816819,-0.000626503
/00,2011_10_03_drive_0027,/000043,-2.190967,-1.349142,39.50365,0.010526906,-0.049801595,-0.001405029
/00,2011_10_03_drive_0027,/000044,-2.256115,-1.393047,40.53855,0.006673594,-0.04986156,-0.000822055
/00,2011_10_03_drive_0027,/000045,-2.32994,-1.426813,41.56111,0.00525059,-0.050289199,-0.006730573
/00,2011_10_03_drive_0027,/000046,-2.399728,-1.460731,42.58303,0.004968499,-0.050202205,-0.007201648
/00,2011_10_03_drive_0027,/000047,-2.465214,-1.489501,43.59302,0.006740564,-0.05034796,-0.007015719
/00,2011_10_03_drive_0027,/000048,-2.535885,-1.52285,44.5979,0.009677278,-0.05008459,-0.009468184
/00,2011_10_03_drive_0027,/000049,-2.600016,-1.559885,45.59882,0.009783131,-0.051060165,-0.00930833
/00,2011_10_03_drive_0027,/000050,-2.661881,-1.593756,46.59803,0.008137856,-0.052395565,-0.007290229
/00,2011_10_03_drive_0027,/000051,-2.728914,-1.629817,47.59275,0.007135463,-0.053268361,-0.00744211
/00,2011_10_03_drive_0027,/000052,-2.800794,-1.664529,48.57856,0.009463002,-0.053509052,-0.010337159
/00,2011_10_03_drive_0027,/000053,-2.871336,-1.697621,49.556,0.014936869,-0.054237259,-0.011049022
/00,2011_10_03_drive_0027,/000054,-2.937935,-1.729013,50.53773,0.015759229,-0.054695152,-0.011512068
/00,2011_10_03_drive_0027,/000055,-3.002463,-1.766742,51.51845,0.012471018,-0.055010904,-0.010955641
/00,2011_10_03_drive_0027,/000056,-3.065844,-1.798994,52.49501,0.009215277,-0.055358707,-0.008076468
/00,2011_10_03_drive_0027,/000057,-3.130185,-1.830051,53.46498,0.008285203,-0.055655971,-0.006809909
/00,2011_10_03_drive_0027,/000058,-3.19152,-1.858398,54.42804,0.008999005,-0.055869036,-0.003785606
/00,2011_10_03_drive_0027,/000059,-3.248811,-1.886487,55.39178,0.010591682,-0.056454746,-0.000451611
/00,2011_10_03_drive_0027,/000060,-3.310922,-1.913841,56.35039,0.009588746,-0.057676786,0.001038529
/00,2011_10_03_drive_0027,/000061,-3.371514,-1.938229,57.31251,0.00511502,-0.05878997,0.004082393
/00,2011_10_03_drive_0027,/000062,-3.438994,-1.956763,58.274,-0.000552674,-0.059259379,0.005997509
/00,2011_10_03_drive_0027,/000063,-3.511313,-1.975962,59.2254,-0.00248117,-0.059799718,0.004556073
/00,2011_10_03_drive_0027,/000064,-3.579193,-1.998111,60.16633,-0.000107012,-0.061323494,0.002926058
/00,2011_10_03_drive_0027,/000065,-3.641784,-2.021539,61.09125,0.008475376,-0.062860855,0.001229676
/00,2011_10_03_drive_0027,/000066,-3.703384,-2.049159,62.00632,0.014218159,-0.063969089,5.03E-05
/00,2011_10_03_drive_0027,/000067,-3.776035,-2.078109,62.91678,0.013787794,-0.065168889,-0.005103352
/00,2011_10_03_drive_0027,/000068,-3.84394,-2.112094,63.81519,0.011089205,-0.065978143,-0.008224287
/00,2011_10_03_drive_0027,/000069,-3.912602,-2.145353,64.69786,0.009522656,-0.067309306,-0.010895617
/00,2011_10_03_drive_0027,/000070,-3.978228,-2.173835,65.56672,0.010423675,-0.068542493,-0.011059694
/00,2011_10_03_drive_0027,/000071,-4.046625,-2.201409,66.42163,0.009650283,-0.070162167,-0.012512851
/00,2011_10_03_drive_0027,/000072,-4.114442,-2.230822,67.26455,0.009104123,-0.071638741,-0.01383639
/00,2011_10_03_drive_0027,/000073,-4.179994,-2.258366,68.09328,0.008084266,-0.073263247,-0.01356029
/00,2011_10_03_drive_0027,/000074,-4.244856,-2.28331,68.90994,0.007337368,-0.074719252,-0.013114536
/00,2011_10_03_drive_0027,/000075,-4.313021,-2.307845,69.71424,0.005291856,-0.076096131,-0.015302599
/00,2011_10_03_drive_0027,/000076,-4.381935,-2.329476,70.50799,0.000753335,-0.077241281,-0.016830735
/00,2011_10_03_drive_0027,/000077,-4.44551,-2.355391,71.28437,-0.000779528,-0.079105404,-0.01922825
/00,2011_10_03_drive_0027,/000078,-4.514875,-2.382091,72.03735,0.00272607,-0.080652364,-0.022545018
/00,2011_10_03_drive_0027,/000079,-4.58021,-2.409731,72.76791,0.010378812,-0.0818724,-0.023692299
/00,2011_10_03_drive_0027,/000080,-4.644343,-2.432982,73.48065,0.016068262,-0.083454722,-0.022993884
/00,2011_10_03_drive_0027,/000081,-4.709494,-2.459523,74.17539,0.018308567,-0.083831803,-0.023905781
/00,2011_10_03_drive_0027,/000082,-4.77573,-2.490277,74.85147,0.015080794,-0.084567015,-0.026087606
/00,2011_10_03_drive_0027,/000083,-4.837515,-2.525955,75.50744,0.011710735,-0.085839043,-0.027078355
/00,2011_10_03_drive_0027,/000084,-4.891889,-2.556654,76.13828,0.014635763,-0.087217958,-0.024190048
/00,2011_10_03_drive_0027,/000085,-4.937677,-2.585469,76.7501,0.018891862,-0.087420178,-0.016688339
/00,2011_10_03_drive_0027,/000086,-4.985837,-2.616742,77.34409,0.024270256,-0.086723304,-0.01254689
/00,2011_10_03_drive_0027,/000087,-5.039038,-2.646048,77.92534,0.024924557,-0.083718005,-0.014200198
/00,2011_10_03_drive_0027,/000088,-5.092732,-2.675699,78.49464,0.022132498,-0.079665375,-0.019473399
/00,2011_10_03_drive_0027,/000089,-5.133801,-2.70184,79.04953,0.018888173,-0.075186403,-0.018071163
/00,2011_10_03_drive_0027,/000090,-5.159772,-2.729207,79.5923,0.014557759,-0.070013839,-0.013190437
/00,2011_10_03_drive_0027,/000091,-5.183357,-2.7568,80.12304,0.009824524,-0.062299295,-0.008499928
/00,2011_10_03_drive_0027,/000092,-5.208269,-2.780022,80.63455,0.010668514,-0.051802147,-0.011239383
/00,2011_10_03_drive_0027,/000093,-5.235209,-2.801727,81.13538,0.011197183,-0.036843355,-0.016661817
/00,2011_10_03_drive_0027,/000094,-5.248892,-2.822088,81.62286,0.010596202,-0.018953556,-0.021572986
/00,2011_10_03_drive_0027,/000095,-5.236828,-2.839863,82.09701,0.009908867,0.002592681,-0.019910101
/00,2011_10_03_drive_0027,/000096,-5.207469,-2.859306,82.55594,0.008769717,0.027905722,-0.015946884
/00,2011_10_03_drive_0027,/000097,-5.163543,-2.878004,83.00846,0.007047336,0.056862602,-0.014325401
/00,2011_10_03_drive_0027,/000098,-5.10562,-2.895751,83.45454,0.005328483,0.089387723,-0.013725728
/00,2011_10_03_drive_0027,/000099,-5.02956,-2.911918,83.8853,0.004313457,0.125868091,-0.013353562
/00,2011_10_03_drive_0027,/000100,-4.934649,-2.926167,84.31338,0.004129599,0.167071866,-0.013211273
/00,2011_10_03_drive_0027,/000101,-4.817297,-2.942364,84.72869,0.003906533,0.212091825,-0.01264595
/00,2011_10_03_drive_0027,/000102,-4.680938,-2.961855,85.1182,0.004797966,0.260846928,-0.014126817
/00,2011_10_03_drive_0027,/000103,-4.519193,-2.980545,85.50171,0.007087003,0.31488729,-0.013881983
/00,2011_10_03_drive_0027,/000104,-4.336344,-2.995233,85.85373,0.008861577,0.372396073,-0.012769519
/00,2011_10_03_drive_0027,/000105,-4.130089,-3.006846,86.20001,0.010414666,0.43303462,-0.012057702
/00,2011_10_03_drive_0027,/000106,-3.903866,-3.018353,86.52588,0.012755299,0.496050085,-0.010456333
/00,2011_10_03_drive_0027,/000107,-3.65638,-3.030941,86.8121,0.016600386,0.56044954,-0.005812066
/00,2011_10_03_drive_0027,/000108,-3.393066,-3.048142,87.09558,0.018643092,0.624669259,-0.003100378
/00,2011_10_03_drive_0027,/000109,-3.115393,-3.063358,87.34503,0.01895279,0.688351905,-9.93E-05
/00,2011_10_03_drive_0027,/000110,-2.817803,-3.074584,87.59401,0.016229054,0.751473776,-0.000311579
/00,2011_10_03_drive_0027,/000111,-2.508137,-3.08446,87.8201,0.017082981,0.813567631,0.00239074
/00,2011_10_03_drive_0027,/000112,-2.182602,-3.093149,88.00813,0.023008098,0.874231108,0.009042703
/00,2011_10_03_drive_0027,/000113,-1.847638,-3.103538,88.18799,0.033893161,0.931981008,0.021795492
/00,2011_10_03_drive_0027,/000114,-1.511055,-3.116572,88.34349,0.035760546,0.987486664,0.02301798
/00,2011_10_03_drive_0027,/000115,-1.165582,-3.127427,88.50204,0.031803979,1.041901849,0.01770866
/00,2011_10_03_drive_0027,/000116,-0.8110714,-3.138031,88.64159,0.034233046,1.09237248,0.018908613
/00,2011_10_03_drive_0027,/000117,-0.4500223,-3.146259,88.74795,0.051650702,1.138278166,0.037272035
/00,2011_10_03_drive_0027,/000118,-0.07268361,-3.150458,88.83995,0.091471555,1.178895096,0.08319131
/00,2011_10_03_drive_0027,/000119,0.3020916,-3.156586,88.93047,0.113017519,1.215200044,0.108340504
/00,2011_10_03_drive_0027,/000120,0.676345,-3.166835,89.02315,0.121756747,1.249378418,0.114575099
/00,2011_10_03_drive_0027,/000121,1.050891,-3.185174,89.12503,0.10062851,1.282410316,0.087743225
/00,2011_10_03_drive_0027,/000122,1.434583,-3.205997,89.21056,0.092474775,1.312064804,0.076138402
/00,2011_10_03_drive_0027,/000123,1.83291,-3.222114,89.27715,0.108320501,1.337880081,0.090269426
/00,2011_10_03_drive_0027,/000124,2.240743,-3.234217,89.3295,0.151195303,1.360702028,0.132103967
/00,2011_10_03_drive_0027,/000125,2.66275,-3.232193,89.3721,0.217435162,1.37911619,0.191805802
/00,2011_10_03_drive_0027,/000126,3.089762,-3.233114,89.41899,0.261529422,1.397772139,0.228032408
/00,2011_10_03_drive_0027,/000127,3.53677,-3.247013,89.47222,0.273505857,1.415652264,0.239291064
/00,2011_10_03_drive_0027,/000128,4.002128,-3.269703,89.52059,0.276664955,1.431434194,0.247969485
/00,2011_10_03_drive_0027,/000129,4.475771,-3.292077,89.55606,0.303680601,1.445607797,0.278988026
/00,2011_10_03_drive_0027,/000130,4.962461,-3.311658,89.58341,0.355309877,1.457709428,0.333051387
/00,2011_10_03_drive_0027,/000131,5.460049,-3.327578,89.60332,0.428477106,1.467346155,0.407333576
/00,2011_10_03_drive_0027,/000132,5.974572,-3.344693,89.62101,0.504810254,1.475212399,0.48314564
/00,2011_10_03_drive_0027,/000133,6.504623,-3.36274,89.63826,0.571801292,1.481420195,0.549625816
/00,2011_10_03_drive_0027,/000134,7.050381,-3.379767,89.65473,0.627080947,1.485463741,0.604771231
/00,2011_10_03_drive_0027,/000135,7.614093,-3.394968,89.67153,0.684005028,1.489226065,0.660645134
/00,2011_10_03_drive_0027,/000136,8.197957,-3.409306,89.68785,0.739693078,1.493804897,0.715516579
/00,2011_10_03_drive_0027,/000137,8.800912,-3.4262,89.70167,0.804968679,1.495535024,0.780881766
/00,2011_10_03_drive_0027,/000138,9.42023,-3.442284,89.70786,0.854086287,1.496677633,0.830248599
/00,2011_10_03_drive_0027,/000139,10.05978,-3.460292,89.71666,0.899227682,1.498125165,0.875842402
/00,2011_10_03_drive_0027,/000140,10.71458,-3.477648,89.71954,0.946437333,1.498898976,0.92372519
/00,2011_10_03_drive_0027,/000141,11.38837,-3.495197,89.72145,0.996828741,1.495817065,0.974416182
/00,2011_10_03_drive_0027,/000142,12.07462,-3.511618,89.72018,1.022985874,1.492375098,1.000848775
/00,2011_10_03_drive_0027,/000143,12.7819,-3.529809,89.72729,1.016158058,1.489823895,0.99408829
/00,2011_10_03_drive_0027,/000144,13.50501,-3.549541,89.73868,1.000071291,1.48602191,0.977603302
/00,2011_10_03_drive_0027,/000145,14.24395,-3.570045,89.75239,0.969494769,1.483246598,0.947024091
/00,2011_10_03_drive_0027,/000146,15.0026,-3.595307,89.77631,0.943048995,1.479857173,0.922290961
/00,2011_10_03_drive_0027,/000147,15.77368,-3.621398,89.80526,0.90814616,1.477538971,0.888758884
/00,2011_10_03_drive_0027,/000148,16.56055,-3.645849,89.84339,0.854681839,1.47708283,0.837401008
/00,2011_10_03_drive_0027,/000149,17.35473,-3.669719,89.88363,0.81561379,1.475126411,0.799327701
/00,2011_10_03_drive_0027,/000150,18.15651,-3.696455,89.92948,0.768787641,1.474050558,0.751619394
/00,2011_10_03_drive_0027,/000151,18.95996,-3.726996,89.97884,0.73332805,1.472954659,0.712743027
/00,2011_10_03_drive_0027,/000152,19.76819,-3.758629,90.03338,0.686403179,1.475564597,0.659703257
/00,2011_10_03_drive_0027,/000153,20.58193,-3.789412,90.08278,0.669798755,1.477460638,0.64013609
/00,2011_10_03_drive_0027,/000154,21.39947,-3.828201,90.13241,0.648471016,1.478880957,0.618814318
/00,2011_10_03_drive_0027,/000155,22.21735,-3.869642,90.18269,0.621861758,1.480693567,0.594952649
/00,2011_10_03_drive_0027,/000156,23.03432,-3.908789,90.22769,0.630345959,1.480312526,0.604019819
/00,2011_10_03_drive_0027,/000157,23.85148,-3.948711,90.27374,0.607360613,1.481510133,0.582231719
/00,2011_10_03_drive_0027,/000158,24.6666,-3.991884,90.31732,0.593606059,1.482749068,0.568507436
/00,2011_10_03_drive_0027,/000159,25.47837,-4.031552,90.365,0.569612326,1.484071365,0.543751556
/00,2011_10_03_drive_0027,/000160,26.2888,-4.070675,90.41153,0.548859345,1.486792791,0.521872524
/00,2011_10_03_drive_0027,/000161,27.10009,-4.110043,90.45782,0.535468014,1.490658992,0.508553221
/00,2011_10_03_drive_0027,/000162,27.90992,-4.149285,90.49922,0.529697065,1.495439684,0.50426262
/00,2011_10_03_drive_0027,/000163,28.7218,-4.189372,90.53737,0.535845379,1.500841163,0.513078042
/00,2011_10_03_drive_0027,/000164,29.53344,-4.227712,90.56802,0.553997475,1.507394566,0.533774186
/00,2011_10_03_drive_0027,/000165,30.34032,-4.26442,90.58889,0.613776599,1.514061773,0.593704332
/00,2011_10_03_drive_0027,/000166,31.14204,-4.298961,90.60259,0.706440071,1.521478286,0.685489051
/00,2011_10_03_drive_0027,/000167,31.94324,-4.332533,90.60409,0.869272696,1.528365742,0.84769449
/00,2011_10_03_drive_0027,/000168,32.74069,-4.3668,90.59833,1.095948335,1.533317936,1.075414297
/00,2011_10_03_drive_0027,/000169,33.53267,-4.400925,90.58651,1.375113492,1.538060828,1.356256243
/00,2011_10_03_drive_0027,/000170,34.32424,-4.430514,90.56241,1.714373895,1.537147348,1.69637678
/00,2011_10_03_drive_0027,/000171,35.11039,-4.460151,90.52962,2.015296046,1.533668081,1.997466984
/00,2011_10_03_drive_0027,/000172,35.88915,-4.490465,90.49003,2.250742435,1.527684996,2.232460303
/00,2011_10_03_drive_0027,/000173,36.66363,-4.51981,90.44253,2.424824794,1.520507414,2.405583884
/00,2011_10_03_drive_0027,/000174,37.43083,-4.548257,90.38673,2.533298778,1.511936026,2.513208041
/00,2011_10_03_drive_0027,/000175,38.18958,-4.577147,90.32361,2.606854335,1.503445258,2.586185284
/00,2011_10_03_drive_0027,/000176,38.94049,-4.607065,90.25165,2.666341428,1.494726366,2.645416783
/00,2011_10_03_drive_0027,/000177,39.68363,-4.635152,90.17629,2.713512236,1.485915919,2.692658196
/00,2011_10_03_drive_0027,/000178,40.41876,-4.66402,90.09176,2.739157189,1.477427089,2.718733323
/00,2011_10_03_drive_0027,/000179,41.14574,-4.69221,90.0029,2.753135644,1.469964137,2.734212
/00,2011_10_03_drive_0027,/000180,41.86324,-4.72176,89.91031,2.746871802,1.463880603,2.729637475
/00,2011_10_03_drive_0027,/000181,42.57483,-4.746579,89.81611,2.733795473,1.45900658,2.718561545
/00,2011_10_03_drive_0027,/000182,43.27463,-4.770015,89.72399,2.728773717,1.455653813,2.714927904
/00,2011_10_03_drive_0027,/000183,43.95946,-4.793116,89.63442,2.730689152,1.45376854,2.717634761
/00,2011_10_03_drive_0027,/000184,44.63116,-4.815263,89.54649,2.730921271,1.452681824,2.717794227
/00,2011_10_03_drive_0027,/000185,45.28497,-4.83706,89.46022,2.721402411,1.452942236,2.707110877
/00,2011_10_03_drive_0027,/000186,45.9228,-4.858683,89.37856,2.703794932,1.454913594,2.688239173
/00,2011_10_03_drive_0027,/000187,46.54259,-4.880596,89.3065,2.684944406,1.459344807,2.668491536
/00,2011_10_03_drive_0027,/000188,47.14397,-4.902936,89.24451,2.65933721,1.466283664,2.642181471
/00,2011_10_03_drive_0027,/000189,47.72631,-4.926346,89.19325,2.614243056,1.476308758,2.596567378
/00,2011_10_03_drive_0027,/000190,48.28879,-4.950044,89.1528,2.535342659,1.487885815,2.517253777
/00,2011_10_03_drive_0027,/000191,48.83147,-4.973119,89.12695,2.412443443,1.501495102,2.392753043
/00,2011_10_03_drive_0027,/000192,49.36647,-5.001409,89.12113,2.175146698,1.51612802,2.152325701
/00,2011_10_03_drive_0027,/000193,49.89376,-5.029978,89.13018,1.734257572,1.526776328,1.707860056
/00,2011_10_03_drive_0027,/000194,50.4167,-5.056479,89.14842,1.118972233,1.524025728,1.090267677
/00,2011_10_03_drive_0027,/000195,50.93941,-5.083698,89.19154,0.657542206,1.503661766,0.628449087
/00,2011_10_03_drive_0027,/000196,51.45679,-5.111122,89.25586,0.420880641,1.471417966,0.393449261
/00,2011_10_03_drive_0027,/000197,51.96384,-5.139956,89.33556,0.287874197,1.432793436,0.263178946
/00,2011_10_03_drive_0027,/000198,52.46407,-5.168307,89.45093,0.202949699,1.389757582,0.182285728
/00,2011_10_03_drive_0027,/000199,52.95984,-5.197886,89.59271,0.141967365,1.342539942,0.124198608
/00,2011_10_03_drive_0027,/000200,53.43056,-5.228395,89.75037,0.10271882,1.291361018,0.086137412
/00,2011_10_03_drive_0027,/000201,53.88945,-5.254058,89.94526,0.083271556,1.235297265,0.066252843
/00,2011_10_03_drive_0027,/000202,54.33154,-5.281038,90.16419,0.079692142,1.174188084,0.060672863
/00,2011_10_03_drive_0027,/000203,54.73889,-5.307765,90.3886,0.076075315,1.109614561,0.052309224
/00,2011_10_03_drive_0027,/000204,55.13319,-5.33687,90.66097,0.076714449,1.042889129,0.047046221
/00,2011_10_03_drive_0027,/000205,55.49149,-5.362113,90.9416,0.068959862,0.975370699,0.033576948
/00,2011_10_03_drive_0027,/000206,55.83593,-5.389737,91.27112,0.062431746,0.907408588,0.022365038
/00,2011_10_03_drive_0027,/000207,56.15845,-5.418165,91.6203,0.059796046,0.838988233,0.016606189
/00,2011_10_03_drive_0027,/000208,56.44855,-5.448053,91.96615,0.056938857,0.771173236,0.013419363
/00,2011_10_03_drive_0027,/000209,56.72244,-5.479109,92.35602,0.048986431,0.704015264,0.009056755
/00,2011_10_03_drive_0027,/000210,56.96793,-5.510534,92.76492,0.039995079,0.636995844,0.005799775
/00,2011_10_03_drive_0027,/000211,57.17528,-5.539453,93.17127,0.031995721,0.57193024,0.002021722
/00,2011_10_03_drive_0027,/000212,57.37005,-5.564449,93.61062,0.023955351,0.510405289,-0.000517027
/00,2011_10_03_drive_0027,/000213,57.53992,-5.590987,94.0612,0.016392728,0.454118935,-0.005293934
/00,2011_10_03_drive_0027,/000214,57.68438,-5.612666,94.50798,0.011850448,0.403502547,-0.009383568
/00,2011_10_03_drive_0027,/000215,57.81242,-5.628018,94.9816,0.006136271,0.360873826,-0.017927984
/00,2011_10_03_drive_0027,/000216,57.9272,-5.638494,95.44688,0.006562884,0.323629702,-0.022590672
/00,2011_10_03_drive_0027,/000217,58.04176,-5.648502,95.92488,0.006955264,0.291307737,-0.025038134
/00,2011_10_03_drive_0027,/000218,58.16224,-5.661977,96.40217,0.0091385,0.267815169,-0.018884083
/00,2011_10_03_drive_0027,/000219,58.27731,-5.680139,96.88437,0.00932266,0.251294408,-0.015925654
/00,2011_10_03_drive_0027,/000220,58.38327,-5.692607,97.38035,0.00881891,0.238442333,-0.020197634
/00,2011_10_03_drive_0027,/000221,58.48694,-5.69871,97.88806,0.007271794,0.228552307,-0.026104709
/00,2011_10_03_drive_0027,/000222,58.58946,-5.712881,98.40345,0.007081706,0.22261005,-0.033318677
/00,2011_10_03_drive_0027,/000223,58.69673,-5.73231,98.9283,0.009731603,0.219776102,-0.039193573
/00,2011_10_03_drive_0027,/000224,58.81399,-5.756138,99.46087,0.011445355,0.219052353,-0.040437773
/00,2011_10_03_drive_0027,/000225,58.94036,-5.778487,100.0024,0.014687285,0.221439006,-0.038859502
/00,2011_10_03_drive_0027,/000226,59.07451,-5.797891,100.5505,0.022414648,0.22565214,-0.035255653
/00,2011_10_03_drive_0027,/000227,59.20976,-5.818562,101.1106,0.027792567,0.229886715,-0.033837166
/00,2011_10_03_drive_0027,/000228,59.34323,-5.84477,101.6926,0.025631861,0.234515537,-0.039009744
/00,2011_10_03_drive_0027,/000229,59.47979,-5.872668,102.2853,0.02060466,0.240298443,-0.04357228
/00,2011_10_03_drive_0027,/000230,59.63546,-5.900971,102.8883,0.016443481,0.245109135,-0.041441155
/00,2011_10_03_drive_0027,/000231,59.7988,-5.928075,103.4998,0.011288161,0.248789186,-0.038090998
/00,2011_10_03_drive_0027,/000232,59.96454,-5.953554,104.1244,0.006855433,0.252264073,-0.036469109
/00,2011_10_03_drive_0027,/000233,60.13424,-5.97519,104.7544,0.006918717,0.255359555,-0.03200516
/00,2011_10_03_drive_0027,/000234,60.30914,-5.99825,105.3923,0.010703343,0.25588141,-0.027417697
/00,2011_10_03_drive_0027,/000235,60.48079,-6.023068,106.0354,0.017484895,0.255495568,-0.024946728
/00,2011_10_03_drive_0027,/000236,60.64973,-6.049018,106.6923,0.025420475,0.254769242,-0.024696361
/00,2011_10_03_drive_0027,/000237,60.81912,-6.075562,107.3637,0.02935294,0.252526176,-0.027543233
/00,2011_10_03_drive_0027,/000238,60.9951,-6.103151,108.0547,0.025164705,0.249958165,-0.027183295
/00,2011_10_03_drive_0027,/000239,61.17722,-6.135437,108.7607,0.018533376,0.248189773,-0.024234144
/00,2011_10_03_drive_0027,/000240,61.35508,-6.168814,109.4778,0.011121236,0.245616026,-0.026413683
/00,2011_10_03_drive_0027,/000241,61.52759,-6.198021,110.2002,0.011049384,0.24377735,-0.02971693
/00,2011_10_03_drive_0027,/000242,61.69627,-6.225332,110.9295,0.014454371,0.242011425,-0.035003463
/00,2011_10_03_drive_0027,/000243,61.87414,-6.252301,111.6692,0.020019269,0.238231872,-0.034747259
/00,2011_10_03_drive_0027,/000244,62.05312,-6.282018,112.4214,0.023535471,0.234056389,-0.033231727
/00,2011_10_03_drive_0027,/000245,62.23417,-6.31524,113.1891,0.022428941,0.230170889,-0.031628231
/00,2011_10_03_drive_0027,/000246,62.41758,-6.351409,113.9649,0.021964291,0.226450538,-0.027435516
/00,2011_10_03_drive_0027,/000247,62.60024,-6.387404,114.7551,0.019223853,0.224564395,-0.026553455
/00,2011_10_03_drive_0027,/000248,62.78483,-6.419328,115.5643,0.017138754,0.222918468,-0.023985992
/00,2011_10_03_drive_0027,/000249,62.97372,-6.450506,116.3732,0.017038393,0.222173176,-0.018727441
